municip_code,municip_code_ibge,municip_name,municip_parent_code,municip_parent_name
110001,1100015,Alta Floresta D'Oeste,1100015,Alta Floresta D'Oeste
110002,1100023,Ariquemes,1100023,Ariquemes
110003,1100031,Cabixi,1100031,Cabixi
110004,1100049,Cacoal,1100049,Cacoal
110005,1100056,Cerejeiras,1100056,Cerejeiras
110006,1100064,Colorado do Oeste,1100064,Colorado do Oeste
110007,1100072,Corumbiara,1100072,Corumbiara
110008,1100080,Costa Marques,1100080,Costa Marques
110009,1100098,Espigão D'Oeste,1100098,Espigão D'Oeste
110010,1100106,Guajará-Mirim,1100106,Guajará-Mirim
110011,1100114,Jaru,1100114,Jaru
110012,1100122,Ji-Paraná,1100122,Ji-Paraná
110013,1100130,Machadinho D'Oeste,1100130,Machadinho D'Oeste
110014,1100148,Nova Brasilândia D'Oeste,1100148,Nova Brasilândia D'Oeste
110015,1100155,Ouro Preto do Oeste,1100155,Ouro Preto do Oeste
110018,1100189,Pimenta Bueno,1100189,Pimenta Bueno
110020,1100205,Porto Velho,1100205,Porto Velho
110025,1100254,Presidente Médici,1100254,Presidente Médici
110026,1100262,Rio Crespo,1100262,Rio Crespo
110028,1100288,Rolim de Moura,1100288,Rolim de Moura
110029,1100296,Santa Luzia D'Oeste,1100296,Santa Luzia D'Oeste
110030,1100304,Vilhena,1100304,Vilhena
110032,1100320,São Miguel do Guaporé,1100320,São Miguel do Guaporé
110033,1100338,Nova Mamoré,1100338,Nova Mamoré
110034,1100346,Alvorada D'Oeste,1100346,Alvorada D'Oeste
110037,1100379,Alto Alegre dos Parecis,1100379,Alto Alegre dos Parecis
110040,1100403,Alto Paraíso,1100403,Alto Paraíso
110045,1100452,Buritis,1100452,Buritis
110050,1100502,Novo Horizonte do Oeste,1100502,Novo Horizonte do Oeste
110060,1100601,Cacaulândia,1100601,Cacaulândia
110070,1100700,Campo Novo de Rondônia,1100700,Campo Novo de Rondônia
110080,1100809,Candeias do Jamari,1100809,Candeias do Jamari
110090,1100908,Castanheiras,1100908,Castanheiras
110092,1100924,Chupinguaia,1100924,Chupinguaia
110094,1100940,Cujubim,1100940,Cujubim
110100,1101005,Governador Jorge Teixeira,1101005,Governador Jorge Teixeira
110110,1101104,Itapuã do Oeste,1101104,Itapuã do Oeste
110120,1101203,Ministro Andreazza,1101203,Ministro Andreazza
110130,1101302,Mirante da Serra,1101302,Mirante da Serra
110140,1101401,Monte Negro,1101401,Monte Negro
110143,1101435,Nova União,1101435,Nova União
110145,1101450,Parecis,1101450,Parecis
110146,1101468,Pimenteiras do Oeste,1101468,Pimenteiras do Oeste
110147,1101476,Primavera de Rondônia,1101476,Primavera de Rondônia
110148,1101484,São Felipe D'Oeste,1101484,São Felipe D'Oeste
110149,1101492,São Francisco do Guaporé,1101492,São Francisco do Guaporé
110150,1101500,Seringueiras,1101500,Seringueiras
110155,1101559,Teixeirópolis,1101559,Teixeirópolis
110160,1101609,Theobroma,1101609,Theobroma
110170,1101708,Urupá,1101708,Urupá
110175,1101757,Vale do Anari,1101757,Vale do Anari
110180,1101807,Vale do Paraíso,1101807,Vale do Paraíso
120001,1200013,Acrelândia,1200013,Acrelândia
120005,1200054,Assis Brasil,1200054,Assis Brasil
120010,1200104,Brasiléia,1200104,Brasiléia
120013,1200138,Bujari,1200138,Bujari
120017,1200179,Capixaba,1200179,Capixaba
120020,1200203,Cruzeiro do Sul,1200203,Cruzeiro do Sul
120025,1200252,Epitaciolândia,1200252,Epitaciolândia
120030,1200302,Feijó,1200302,Feijó
120032,1200328,Jordão,1200328,Jordão
120033,1200336,Mâncio Lima,1200336,Mâncio Lima
120034,1200344,Manoel Urbano,1200344,Manoel Urbano
120035,1200351,Marechal Thaumaturgo,1200351,Marechal Thaumaturgo
120038,1200385,Plácido de Castro,1200385,Plácido de Castro
120039,1200393,Porto Walter,1200393,Porto Walter
120040,1200401,Rio Branco,1200401,Rio Branco
120042,1200427,Rodrigues Alves,1200427,Rodrigues Alves
120043,1200435,Santa Rosa do Purus,1200435,Santa Rosa do Purus
120045,1200450,Senador Guiomard,1200450,Senador Guiomard
120050,1200500,Sena Madureira,1200500,Sena Madureira
120060,1200609,Tarauacá,1200609,Tarauacá
120070,1200708,Xapuri,1200708,Xapuri
120080,1200807,Porto Acre,1200807,Porto Acre
130002,1300029,Alvarães,1300029,Alvarães
130006,1300060,Amaturá,1300060,Amaturá
130008,1300086,Anamã,1300086,Anamã
130010,1300102,Anori,1300102,Anori
130014,1300144,Apuí,1300144,Apuí
130020,1300201,Atalaia do Norte,1300201,Atalaia do Norte
130030,1300300,Autazes,1300300,Autazes
130040,1300409,Barcelos,1300409,Barcelos
130050,1300508,Barreirinha,1300508,Barreirinha
130060,1300607,Benjamin Constant,1300607,Benjamin Constant
130063,1300631,Beruri,1300631,Beruri
130068,1300680,Boa Vista do Ramos,1300680,Boa Vista do Ramos
130070,1300706,Boca do Acre,1300706,Boca do Acre
130080,1300805,Borba,1300805,Borba
130083,1300839,Caapiranga,1300839,Caapiranga
130090,1300904,Canutama,1300904,Canutama
130100,1301001,Carauari,1301001,Carauari
130110,1301100,Careiro,1301100,Careiro
130115,1301159,Careiro da Várzea,1301159,Careiro da Várzea
130120,1301209,Coari,1301209,Coari
130130,1301308,Codajás,1301308,Codajás
130140,1301407,Eirunepé,1301407,Eirunepé
130150,1301506,Envira,1301506,Envira
130160,1301605,Fonte Boa,1301605,Fonte Boa
130165,1301654,Guajará,1301654,Guajará
130170,1301704,Humaitá,1301704,Humaitá
130180,1301803,Ipixuna,1301803,Ipixuna
130185,1301852,Iranduba,1301852,Iranduba
130190,1301902,Itacoatiara,1301902,Itacoatiara
130195,1301951,Itamarati,1301951,Itamarati
130200,1302009,Itapiranga,1302009,Itapiranga
130210,1302108,Japurá,1302108,Japurá
130220,1302207,Juruá,1302207,Juruá
130230,1302306,Jutaí,1302306,Jutaí
130240,1302405,Lábrea,1302405,Lábrea
130250,1302504,Manacapuru,1302504,Manacapuru
130255,1302553,Manaquiri,1302553,Manaquiri
130260,1302603,Manaus,1302603,Manaus
130270,1302702,Manicoré,1302702,Manicoré
130280,1302801,Maraã,1302801,Maraã
130290,1302900,Maués,1302900,Maués
130300,1303007,Nhamundá,1303007,Nhamundá
130310,1303106,Nova Olinda do Norte,1303106,Nova Olinda do Norte
130320,1303205,Novo Airão,1303205,Novo Airão
130330,1303304,Novo Aripuanã,1303304,Novo Aripuanã
130340,1303403,Parintins,1303403,Parintins
130350,1303502,Pauini,1303502,Pauini
130353,1303536,Presidente Figueiredo,1303536,Presidente Figueiredo
130356,1303569,Rio Preto da Eva,1303569,Rio Preto da Eva
130360,1303601,Santa Isabel do Rio Negro,1303601,Santa Isabel do Rio Negro
130370,1303700,Santo Antônio do Içá,1303700,Santo Antônio do Içá
130380,1303809,São Gabriel da Cachoeira,1303809,São Gabriel da Cachoeira
130390,1303908,São Paulo de Olivença,1303908,São Paulo de Olivença
130395,1303957,São Sebastião do Uatumã,1303957,São Sebastião do Uatumã
130400,1304005,Silves,1304005,Silves
130406,1304062,Tabatinga,1304062,Tabatinga
130410,1304104,Tapauá,1304104,Tapauá
130420,1304203,Tefé,1304203,Tefé
130423,1304237,Tonantins,1304237,Tonantins
130426,1304260,Uarini,1304260,Uarini
130430,1304302,Urucará,1304302,Urucará
130440,1304401,Urucurituba,1304401,Urucurituba
140002,1400027,Amajari,1400027,Amajari
140005,1400050,Alto Alegre,1400050,Alto Alegre
140010,1400100,Boa Vista,1400100,Boa Vista
140015,1400159,Bonfim,1400159,Bonfim
140017,1400175,Cantá,1400175,Cantá
140020,1400209,Caracaraí,1400209,Caracaraí
140023,1400233,Caroebe,1400233,Caroebe
140028,1400282,Iracema,1400282,Iracema
140030,1400308,Mucajaí,1400308,Mucajaí
140040,1400407,Normandia,1400407,Normandia
140045,1400456,Pacaraima,1400456,Pacaraima
140047,1400472,Rorainópolis,1400472,Rorainópolis
140050,1400506,São João da Baliza,1400506,São João da Baliza
140060,1400605,São Luiz,1400605,São Luiz
140070,1400704,Uiramutã,1400704,Uiramutã
150010,1500107,Abaetetuba,1500107,Abaetetuba
150013,1500131,Abel Figueiredo,1500131,Abel Figueiredo
150020,1500206,Acará,1500206,Acará
150030,1500305,Afuá,1500305,Afuá
150034,1500347,Água Azul do Norte,1500347,Água Azul do Norte
150040,1500404,Alenquer,1500404,Alenquer
150050,1500503,Almeirim,1500503,Almeirim
150060,1500602,Altamira,1500602,Altamira
150070,1500701,Anajás,1500701,Anajás
150080,1500800,Ananindeua,1500800,Ananindeua
150085,1500859,Anapu,1500859,Anapu
150090,1500909,Augusto Corrêa,1500909,Augusto Corrêa
150095,1500958,Aurora do Pará,1500958,Aurora do Pará
150100,1501006,Aveiro,1501006,Aveiro
150110,1501105,Bagre,1501105,Bagre
150120,1501204,Baião,1501204,Baião
150125,1501253,Bannach,1501253,Bannach
150130,1501303,Barcarena,1501303,Barcarena
150140,1501402,Belém,1501402,Belém
150145,1501451,Belterra,1501451,Belterra
150150,1501501,Benevides,1501501,Benevides
150157,1501576,Bom Jesus do Tocantins,1501576,Bom Jesus do Tocantins
150160,1501600,Bonito,1501600,Bonito
150170,1501709,Bragança,1501709,Bragança
150172,1501725,Brasil Novo,1501725,Brasil Novo
150175,1501758,Brejo Grande do Araguaia,1501758,Brejo Grande do Araguaia
150178,1501782,Breu Branco,1501782,Breu Branco
150180,1501808,Breves,1501808,Breves
150190,1501907,Bujaru,1501907,Bujaru
150195,1501956,Cachoeira do Piriá,1501956,Cachoeira do Piriá
150200,1502004,Cachoeira do Arari,1502004,Cachoeira do Arari
150210,1502103,Cametá,1502103,Cametá
150215,1502152,Canaã dos Carajás,1502152,Canaã dos Carajás
150220,1502202,Capanema,1502202,Capanema
150230,1502301,Capitão Poço,1502301,Capitão Poço
150240,1502400,Castanhal,1502400,Castanhal
150250,1502509,Chaves,1502509,Chaves
150260,1502608,Colares,1502608,Colares
150270,1502707,Conceição do Araguaia,1502707,Conceição do Araguaia
150275,1502756,Concórdia do Pará,1502756,Concórdia do Pará
150276,1502764,Cumaru do Norte,1502764,Cumaru do Norte
150277,1502772,Curionópolis,1502772,Curionópolis
150280,1502806,Curralinho,1502806,Curralinho
150285,1502855,Curuá,1502855,Curuá
150290,1502905,Curuçá,1502905,Curuçá
150293,1502939,Dom Eliseu,1502939,Dom Eliseu
150295,1502954,Eldorado do Carajás,1502954,Eldorado do Carajás
150300,1503002,Faro,1503002,Faro
150304,1503044,Floresta do Araguaia,1503044,Floresta do Araguaia
150307,1503077,Garrafão do Norte,1503077,Garrafão do Norte
150309,1503093,Goianésia do Pará,1503093,Goianésia do Pará
150310,1503101,Gurupá,1503101,Gurupá
150320,1503200,Igarapé-Açu,1503200,Igarapé-Açu
150330,1503309,Igarapé-Miri,1503309,Igarapé-Miri
150340,1503408,Inhangapi,1503408,Inhangapi
150345,1503457,Ipixuna do Pará,1503457,Ipixuna do Pará
150350,1503507,Irituia,1503507,Irituia
150360,1503606,Itaituba,1503606,Itaituba
150370,1503705,Itupiranga,1503705,Itupiranga
150375,1503754,Jacareacanga,1503754,Jacareacanga
150380,1503804,Jacundá,1503804,Jacundá
150390,1503903,Juruti,1503903,Juruti
150400,1504000,Limoeiro do Ajuru,1504000,Limoeiro do Ajuru
150405,1504059,Mãe do Rio,1504059,Mãe do Rio
150410,1504109,Magalhães Barata,1504109,Magalhães Barata
150420,1504208,Marabá,1504208,Marabá
150430,1504307,Maracanã,1504307,Maracanã
150440,1504406,Marapanim,1504406,Marapanim
150442,1504422,Marituba,1504422,Marituba
150445,1504455,Medicilândia,1504455,Medicilândia
150450,1504505,Melgaço,1504505,Melgaço
150460,1504604,Mocajuba,1504604,Mocajuba
150470,1504703,Moju,1504703,Moju
150475,1504752,Mojuí dos Campos,1506807,Santarém
150480,1504802,Monte Alegre,1504802,Monte Alegre
150490,1504901,Muaná,1504901,Muaná
150495,1504950,Nova Esperança do Piriá,1504950,Nova Esperança do Piriá
150497,1504976,Nova Ipixuna,1504976,Nova Ipixuna
150500,1505007,Nova Timboteua,1505007,Nova Timboteua
150503,1505031,Novo Progresso,1505031,Novo Progresso
150506,1505064,Novo Repartimento,1505064,Novo Repartimento
150510,1505106,Óbidos,1505106,Óbidos
150520,1505205,Oeiras do Pará,1505205,Oeiras do Pará
150530,1505304,Oriximiná,1505304,Oriximiná
150540,1505403,Ourém,1505403,Ourém
150543,1505437,Ourilândia do Norte,1505437,Ourilândia do Norte
150548,1505486,Pacajá,1505486,Pacajá
150549,1505494,Palestina do Pará,1505494,Palestina do Pará
150550,1505502,Paragominas,1505502,Paragominas
150553,1505536,Parauapebas,1505536,Parauapebas
150555,1505551,Pau D'Arco,1505551,Pau D'Arco
150560,1505601,Peixe-Boi,1505601,Peixe-Boi
150563,1505635,Piçarra,1505635,Piçarra
150565,1505650,Placas,1505650,Placas
150570,1505700,Ponta de Pedras,1505700,Ponta de Pedras
150580,1505809,Portel,1505809,Portel
150590,1505908,Porto de Moz,1505908,Porto de Moz
150600,1506005,Prainha,1506005,Prainha
150610,1506104,Primavera,1506104,Primavera
150611,1506112,Quatipuru,1506112,Quatipuru
150613,1506138,Redenção,1506138,Redenção
150616,1506161,Rio Maria,1506161,Rio Maria
150618,1506187,Rondon do Pará,1506187,Rondon do Pará
150619,1506195,Rurópolis,1506195,Rurópolis
150620,1506203,Salinópolis,1506203,Salinópolis
150630,1506302,Salvaterra,1506302,Salvaterra
150635,1506351,Santa Bárbara do Pará,1506351,Santa Bárbara do Pará
150640,1506401,Santa Cruz do Arari,1506401,Santa Cruz do Arari
150650,1506500,Santa Izabel do Pará,1506500,Santa Izabel do Pará
150655,1506559,Santa Luzia do Pará,1506559,Santa Luzia do Pará
150658,1506583,Santa Maria das Barreiras,1506583,Santa Maria das Barreiras
150660,1506609,Santa Maria do Pará,1506609,Santa Maria do Pará
150670,1506708,Santana do Araguaia,1506708,Santana do Araguaia
150680,1506807,Santarém,1506807,Santarém
150690,1506906,Santarém Novo,1506906,Santarém Novo
150700,1507003,Santo Antônio do Tauá,1507003,Santo Antônio do Tauá
150710,1507102,São Caetano de Odivelas,1507102,São Caetano de Odivelas
150715,1507151,São Domingos do Araguaia,1507151,São Domingos do Araguaia
150720,1507201,São Domingos do Capim,1507201,São Domingos do Capim
150730,1507300,São Félix do Xingu,1507300,São Félix do Xingu
150740,1507409,São Francisco do Pará,1507409,São Francisco do Pará
150745,1507458,São Geraldo do Araguaia,1507458,São Geraldo do Araguaia
150746,1507466,São João da Ponta,1507466,São João da Ponta
150747,1507474,São João de Pirabas,1507474,São João de Pirabas
150750,1507508,São João do Araguaia,1507508,São João do Araguaia
150760,1507607,São Miguel do Guamá,1507607,São Miguel do Guamá
150770,1507706,São Sebastião da Boa Vista,1507706,São Sebastião da Boa Vista
150775,1507755,Sapucaia,1507755,Sapucaia
150780,1507805,Senador José Porfírio,1507805,Senador José Porfírio
150790,1507904,Soure,1507904,Soure
150795,1507953,Tailândia,1507953,Tailândia
150796,1507961,Terra Alta,1507961,Terra Alta
150797,1507979,Terra Santa,1507979,Terra Santa
150800,1508001,Tomé-Açu,1508001,Tomé-Açu
150803,1508035,Tracuateua,1508035,Tracuateua
150805,1508050,Trairão,1508050,Trairão
150808,1508084,Tucumã,1508084,Tucumã
150810,1508100,Tucuruí,1508100,Tucuruí
150812,1508126,Ulianópolis,1508126,Ulianópolis
150815,1508159,Uruará,1508159,Uruará
150820,1508209,Vigia,1508209,Vigia
150830,1508308,Viseu,1508308,Viseu
150835,1508357,Vitória do Xingu,1508357,Vitória do Xingu
150840,1508407,Xinguara,1508407,Xinguara
160005,1600055,Serra do Navio,1600055,Serra do Navio
160010,1600105,Amapá,1600105,Amapá
160015,1600154,Pedra Branca do Amapari,1600154,Pedra Branca do Amapari
160020,1600204,Calçoene,1600204,Calçoene
160021,1600212,Cutias,1600212,Cutias
160023,1600238,Ferreira Gomes,1600238,Ferreira Gomes
160025,1600253,Itaubal,1600253,Itaubal
160027,1600279,Laranjal do Jari,1600279,Laranjal do Jari
160030,1600303,Macapá,1600303,Macapá
160040,1600402,Mazagão,1600402,Mazagão
160050,1600501,Oiapoque,1600501,Oiapoque
160053,1600535,Porto Grande,1600535,Porto Grande
160055,1600550,Pracuúba,1600550,Pracuúba
160060,1600600,Santana,1600600,Santana
160070,1600709,Tartarugalzinho,1600709,Tartarugalzinho
160080,1600808,Vitória do Jari,1600808,Vitória do Jari
170025,1700251,Abreulândia,1700251,Abreulândia
170030,1700301,Aguiarnópolis,1700301,Aguiarnópolis
170035,1700350,Aliança do Tocantins,1700350,Aliança do Tocantins
170040,1700400,Almas,1700400,Almas
170070,1700707,Alvorada,1700707,Alvorada
170100,1701002,Ananás,1701002,Ananás
170105,1701051,Angico,1701051,Angico
170110,1701101,Aparecida do Rio Negro,1701101,Aparecida do Rio Negro
170130,1701309,Aragominas,1701309,Aragominas
170190,1701903,Araguacema,1701903,Araguacema
170200,1702000,Araguaçu,1702000,Araguaçu
170210,1702109,Araguaína,1702109,Araguaína
170215,1702158,Araguanã,1702158,Araguanã
170220,1702208,Araguatins,1702208,Araguatins
170230,1702307,Arapoema,1702307,Arapoema
170240,1702406,Arraias,1702406,Arraias
170255,1702554,Augustinópolis,1702554,Augustinópolis
170270,1702703,Aurora do Tocantins,1702703,Aurora do Tocantins
170290,1702901,Axixá do Tocantins,1702901,Axixá do Tocantins
170300,1703008,Babaçulândia,1703008,Babaçulândia
170305,1703057,Bandeirantes do Tocantins,1703057,Bandeirantes do Tocantins
